Project name,Description of the project,Member_0,Member_0_role,Member_0_skills,Member_1,Member_1_role,Member_1_skills,Member_2,Member_2_role,Member_2_skills,Project_skills
TeamSync,"TeamSync aims to improve the quality and balance of student teams by offering a data-driven, user-friendly experience for discovering, evaluating, and matching with potential teammates.",Member_0_0,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'TensorFlow (Python)', 'PHPUnit (PHP)', 'Visual Basic', 'Ruby on Rails (Ruby)']",Member_1_49,Frontend,"['JavaScript', 'HTML', 'CSS', 'React (JavaScript)', 'Three.js (JavaScript)', 'BeautifulSoup (Python)', 'Actix (Rust)', 'Ktor (Kotlin)']",Member_2_98,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Julia', 'Haskell']","['C#', 'ASP.NET Core (C#)', 'Entity Framework (C#)', 'JavaScript', 'HTML', 'CSS', 'D3.js (JavaScript)', 'Swift', 'Echo (Go)', 'Scrapy (Python)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'R', 'Rocket (Rust)', 'Django (Python)', 'Yii (PHP)']"
RandomCoffee,"Random Coffee is a web-based service integrated within a Telegram bot, designed to foster meaningful connections through casual meetups. Users can register, set their preferences, and choose relevant tags that reflect their interests or professional background. Once a week, the system matches them with others who share similar tags and suggests setting up a meeting.
 
 The bot is intended for deployment within companies, universities, or other communities to encourage networking, experience sharing, and informal communication among members. By facilitating regular, low-pressure interactions, Random Coffee helps build stronger internal networks and promotes a culture of collaboration and openness.",Member_0_1,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Requests (Python)', 'scikit-learn (Python)', 'TypeScript', 'Haskell']",Member_1_50,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'OpenCV (C++)', 'BeautifulSoup (Python)']",Member_2_99,Frontend,"['JavaScript', 'HTML', 'CSS', 'Blazor (C#)', 'Angular (TypeScript)', 'Laravel (PHP)', 'Scrapy (Python)']","['Java', 'Hapi (JavaScript)', 'Sequelize (JavaScript)', 'Spring Boot (Java)', 'Haskell', 'Dart', 'JavaScript', 'HTML', 'CSS', 'Svelte (JavaScript)', 'jQuery (JavaScript)', 'Akka (Scala)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Fortran', 'C', 'Requests (Python)']"
EvOps 🐳,A self-hosted platform to share and discover local events (alternative to Opportunities For You).,Member_0_2,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Fortran', 'Haskell', 'D3.js (JavaScript)', 'Flask (Python)', 'Kotlin', 'Yii (PHP)']",Member_1_51,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'PyTorch (Python)', 'Requests (Python)', 'Sequelize (JavaScript)', 'Rust', 'Zsh (Shell)']",Member_2_100,Frontend,"['JavaScript', 'HTML', 'CSS', 'Dart']","['Python', 'Django (Python)', 'Julia', 'JavaScript', 'HTML', 'CSS', 'Next.js (JavaScript)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Fortran', 'RxJS (TypeScript)', 'Julia', 'Yii (PHP)', 'Exposed (Kotlin)']"
UrTraining,"A web-based platform for creating, distributing and following personalized training plans. Users receive AI-powered workout recommendations based on their goals and conditions. Coaches can publish and manage their own training programs quickly and comfortably.",Member_0_3,Backend,"['Go', 'Gin (Go)']",Member_1_52,Frontend,"['JavaScript', 'HTML', 'CSS', 'Blazor (C#)', 'Vert.x (Java)', 'Matplotlib (Python)', 'Micronaut (Java)']",Member_2_101,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'PyTorch (Python)', 'Exposed (Kotlin)', 'Apex', 'Assembly']","['Java', 'Express.js (JavaScript)', 'TensorFlow (Python)', 'JavaScript', 'Shell (Bash)', 'JavaScript', 'HTML', 'CSS', 'Swift', 'Dart', 'SwiftUI (Swift)', 'Unity (C#)', 'D3.js (JavaScript)', 'Vert.x (Java)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Fortran', 'PyTorch (Python)', 'R', 'React (JavaScript)', 'Swift', 'Unreal Engine (C++)']"
Online game 7Red,"An online version of the Russian game ""7Red"" with with secure user authentication, a main menu for navigation, and multiple game modes: Play with Friends (private rooms), Play Online (matchmaking), and Play with AI.
 
 It includes player statistics, achievements, and a rules section for guidance. Users can customize profiles, avatars, and language in settings.
 
 The backend features real-time multiplayer sync, a database for accounts and live games, and user-friendly error handling for a smooth experience.",Member_0_4,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Requests (Python)', 'PyTorch (Python)', 'Fortran', 'RxJS (TypeScript)', 'Haskell', 'SQL']",Member_1_53,Backend,"['Java', 'Jakarta EE (Java)', 'JavaScript', 'FastAPI (Python)', 'Revel (Go)', 'Shell (Bash)', 'POCO (C++)']",Member_2_102,Frontend,"['JavaScript', 'HTML', 'CSS', 'D3.js (JavaScript)', 'Revel (Go)', 'BeautifulSoup (Python)', 'Diesel (Rust)']","['Java', 'Spring Boot (Java)', 'Hapi (JavaScript)', 'Micronaut (Java)', 'JavaScript', 'HTML', 'CSS', 'Angular (TypeScript)', 'Bash-it (Shell)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'OpenCV (C++)', 'TensorFlow (Python)', 'Vapor (Swift)']"
Solar Wind,"Our app is designed to connect people through their shared passion for sports and an active lifestyle. Whether you're looking for a workout buddy, someone to play a match with, or just want to meet new people who love staying active, this is the place to start.
 Explore nearby users with similar interests, join local sports events, or simply connect and chat with like-minded athletes. From casual joggers to competitive players — everyone is welcome.",Member_0_5,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Fortran', 'Vert.x (Java)', 'Crystal', 'jQuery (JavaScript)', 'JUnit (Java)']",Member_1_54,Frontend,"['JavaScript', 'HTML', 'CSS', 'RxJS (TypeScript)']",Member_2_103,Backend,"['Java', 'JavaScript', 'Hanami (Ruby)', 'Blazor (C#)', 'TypeORM (TypeScript)', 'Dart']","['Python', 'Django (Python)', 'Tornado (Python)', 'Bottle (Python)', 'NumPy (Python)', 'React (JavaScript)', 'Vert.x (Java)', 'Solidity', 'JavaScript', 'HTML', 'CSS', 'D3.js (JavaScript)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'OpenCV (C++)', 'Rocket (Rust)']"
Project 'Control',"A software and hardware product for the robotics laboratory of Innopolis University in order to study and improve skills in the field of Control Theory, Reinforcement Learning (RL), Shapers and other areas of Modern Robotics",Member_0_6,Backend,"['Python', 'Bottle (Python)', 'Tornado (Python)']",Member_1_55,Backend,"['C#', 'Entity Framework (C#)', 'ASP.NET Core (C#)', 'Hapi (JavaScript)', 'Hibernate (Java)', 'Symfony (PHP)']",Member_2_104,Backend,"['Python', 'Django (Python)', 'Flask (Python)', 'TypeScript']","['Go', 'Beego (Go)', 'GORM (Go)', 'Alamofire (Swift)', 'Scrapy (Python)', 'Slick (Scala)', 'Scala', 'JavaScript', 'HTML', 'CSS', 'Angular (TypeScript)', 'Shell (Bash)', 'Unreal Engine (C++)', 'Xamarin (C#)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'BeautifulSoup (Python)']"
SmartClause,"Smart Clause is an AI-powered service for contract analysis that helps users identify legal risks, inconsistencies, and compliance issues without requiring extensive legal expertise. The platform leverages semantic search through vectorized legal databases and language models to provide comprehensive contract review and risk assessment.",Member_0_7,Frontend,"['JavaScript', 'HTML', 'CSS', 'React (JavaScript)', 'Elm', 'TypeScript', 'ABAP']",Member_1_56,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Julia', 'Requests (Python)', 'Scala', 'Spring (Kotlin)', 'Angel (Dart)']",Member_2_105,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'BeautifulSoup (Python)', 'Requests (Python)', 'GORM (Go)', 'Perl']","['Java', 'Sequelize (JavaScript)', 'Hibernate (Java)', 'Flask (Python)', 'JavaScript', 'HTML', 'CSS', 'Svelte (JavaScript)', 'TypeScript', 'Shell (Bash)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'scikit-learn (Python)', 'R', 'PyTorch (Python)', 'Rust', 'Slick (Scala)', 'Assembly']"
Verilog contest platform,"A contest platform for practicing digital design using hardware description languages, allowing students to solve problems by writing and testing code in a sandboxed environment with automated verification",Member_0_8,Backend,"['Python', 'Tornado (Python)', 'Django (Python)']",Member_1_57,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'R', 'Apex', 'Angel (Dart)', 'Vapor (Swift)', 'Entity Framework (C#)', 'Fortran']",Member_2_106,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'BeautifulSoup (Python)']","['Python', 'Bottle (Python)', 'Django (Python)', 'Zsh (Shell)', 'C#', 'JavaScript', 'HTML', 'CSS', 'Three.js (JavaScript)', 'Solidity', 'Julia', 'Ktor (Kotlin)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Requests (Python)', 'Julia', 'scikit-learn (Python)']"
EasyTravel,"EasyTravel is a smart service that helps people find interesting places in the city to walk or relax. It is enough for the user to enter a request in free form, for example:
 ""I came to Kazan for a day, I want to have an interesting time, I love museums""
 The service understands the meaning of such a query (and not just keywords) and suggests suitable places to visit — personally, taking into account interests and context.",Member_0_9,Frontend,"['JavaScript', 'HTML', 'CSS', 'TypeScript', 'Kotlin', 'Powershell', 'Entity Framework (C#)']",Member_1_58,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'R', 'Django (Python)']",Member_2_107,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'scikit-learn (Python)', 'Requests (Python)', 'R', 'Angel (Dart)', 'Java', 'Lua', 'Zsh (Shell)']","['Java', 'Hapi (JavaScript)', 'Spring Boot (Java)', 'Micronaut (Java)', 'Qt (C++)', 'Scala', 'JavaScript', 'HTML', 'CSS', 'React (JavaScript)', 'jQuery (JavaScript)', 'Swift', 'Alamofire (Swift)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'BeautifulSoup (Python)', 'Hibernate (Java)']"
Smartify,"The project is an educational platform that combines the functions of career guidance, university selection, preparation for the Unified State Exam and the selection of tutors. The main feature is the use of artificial intelligence for personalized recommendations. The app is aimed at students in grades 9-11. It is important to emphasize competitive advantages: accessibility, specific advice, all in one place.",Member_0_10,Frontend,"['JavaScript', 'HTML', 'CSS', 'Elm', 'Groovy', 'Revel (Go)']",Member_1_59,Backend,"['Python', 'FastAPI (Python)', 'Django (Python)', 'Actix (Rust)', 'TensorFlow (Python)', 'Rust', 'Lua']",Member_2_108,Frontend,"['JavaScript', 'HTML', 'CSS', 'Blazor (C#)', 'SDL (C)', 'Apex', 'Flutter (Dart)']","['Python', 'Bottle (Python)', 'Scrapy (Python)', 'F#', 'C++', 'Laravel (PHP)', 'JavaScript', 'HTML', 'CSS', 'Blazor (C#)', 'Dart', 'FastAPI (Python)', 'Rust', 'Angular (TypeScript)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'OpenCV (C++)', 'PHPUnit (PHP)', 'Echo (Go)', 'Gin (Go)', 'Express.js (JavaScript)']"
GymGenius,"GymGenius is an offline-friendly workout tracker that stores every set on your phone and syncs to the cloud when connectivity returns. A one-tap AI coach reviews each finished session and suggests smarter progression. Behind the scenes, a web-based Vue dashboard lets staff inspect usage logs, grant or revoke paid subscriptions, and moderate users—all while the core services run in a lightweight Go/Flutter stack.",Member_0_11,Frontend,"['JavaScript', 'HTML', 'CSS', 'Combine (Swift)', 'TypeScript', 'RxJS (TypeScript)', 'C#']",Member_1_60,Frontend,"['JavaScript', 'HTML', 'CSS', 'jQuery (JavaScript)', 'Vue.js (JavaScript)', 'Python', 'React (JavaScript)']",Member_2_109,Backend,"['C#', 'ASP.NET Core (C#)']","['Go', 'Echo (Go)', 'scikit-learn (Python)', 'Sinatra (Ruby)', 'JavaScript', 'HTML', 'CSS', 'Flutter (Dart)', 'React (JavaScript)', 'BeautifulSoup (Python)', 'Vert.x (Java)', 'Perl', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'PyTorch (Python)', 'Go']"
Inno Services Search,"The project is a smart search for the content of Innopolis University services for students. Artificial intelligence in our product will allow students to quickly find information about dormitories/university and other services, it is expected that there will be an opportunity to search for information on free-form questions. The service will be built into innohassle.ru",Member_0_12,Frontend,"['JavaScript', 'HTML', 'CSS', 'Elm', 'Svelte (JavaScript)', 'Django (Python)']",Member_1_61,Backend,"['Python', 'Flask (Python)']",Member_2_110,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Julia', 'Entity Framework (C#)']","['Go', 'Echo (Go)', 'Revel (Go)', 'Actix (Rust)', 'JavaScript', 'HTML', 'CSS', 'jQuery (JavaScript)', 'Hibernate (Java)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'OpenCV (C++)', 'ASP.NET Core (C#)']"
Interactive game about Innopolis Univeristy,"A game created on Unity in 2.5D style, where the player can walk through the main areas of the university (main hall, dormitories, etc), interacting with NPCs and learning about life in Innopolis through mini-quests and dialogs.",Member_0_13,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'OpenCV (C++)', 'TensorFlow (Python)', 'Scala', 'Swift', 'C#']",Member_1_62,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Scala', 'R', 'Boost (C++)', 'Alamofire (Swift)']",Member_2_111,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Fortran', 'scikit-learn (Python)', 'PyTorch (Python)', 'Rust', 'Express.js (JavaScript)', 'Ruby on Rails (Ruby)']","['Java', 'JavaScript', 'Hibernate (Java)', 'Kotlin', 'OpenCV (C++)', 'MATLAB', 'Hanami (Ruby)', 'Revel (Go)', 'JavaScript', 'HTML', 'CSS', 'TypeScript', 'Micronaut (Java)', 'React (JavaScript)', 'POCO (C++)', 'Haskell', 'Express.js (JavaScript)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Fortran', 'PyTorch (Python)', 'TensorFlow (Python)', 'Entity Framework (C#)', 'Flutter (Dart)']"
mealix,"Telegram-mini-app that collects information from the user about food preferences (allergies, dietary restrictions, favorite cuisines, cooking time) and, upon request, generates a personalized meal plan for a specified period (a day, three days, a week). The user receives a diet for the specified period with detailed instructions for cooking and a generated list of actual products from the Magnit chain.",Member_0_14,Frontend,"['JavaScript', 'HTML', 'CSS', 'Elm', 'Swift', 'TypeScript', 'CodeIgniter (PHP)', 'Jakarta EE (Java)', 'Three.js (JavaScript)', 'Xamarin (C#)']",Member_1_63,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Requests (Python)', 'scikit-learn (Python)', 'MATLAB', 'GORM (Go)', 'NestJS (TypeScript)', 'Yii (PHP)', 'ASP.NET Core (C#)', 'Echo (Go)']",Member_2_112,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Scala', 'Lua', 'Laravel (PHP)', 'Yii (PHP)', 'Unity (C#)']","['Python', 'Tornado (Python)', 'C#', 'Vapor (Swift)', 'Laravel (PHP)', 'JavaScript', 'HTML', 'CSS', 'TypeScript', 'D3.js (JavaScript)', 'Chart.js (JavaScript)', 'Three.js (JavaScript)', 'Tornado (Python)', 'Unreal Engine (C++)', 'PHPUnit (PHP)', 'NestJS (TypeScript)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Scala', 'TypeScript', 'MATLAB', 'Swift', 'JUnit (Java)']"
Killah,"AI writing companion that helps people start, continue writing, and form their ideas using a responsive macOS app with a custom post-trained on-device large language model",Member_0_15,Backend,"['Python', 'Bottle (Python)', 'Flask (Python)', 'Slick (Scala)', 'Rust', 'Micronaut (Java)']",Member_1_64,Frontend,"['JavaScript', 'HTML', 'CSS', 'SwiftUI (Swift)', 'Vapor (Swift)', 'Angel (Dart)', 'Powershell', 'Blazor (C#)']",Member_2_113,Frontend,"['JavaScript', 'HTML', 'CSS', 'Angular (TypeScript)', 'Kotlin', 'Qt (C++)']","['C#', 'Entity Framework (C#)', 'ASP.NET Core (C#)', 'Flask (Python)', 'Flutter (Dart)', 'Assembly', 'RxJS (TypeScript)', 'JavaScript', 'HTML', 'CSS', 'React (JavaScript)', 'RSpec (Ruby)', 'TypeORM (TypeScript)', 'Perl', 'SDL (C)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'PyTorch (Python)', 'OpenCV (C++)', 'Scala', 'Erlang', 'MATLAB', 'Haskell', 'D3.js (JavaScript)']"
SkillsNavigator.ai,"A website that builds personalized learning roadmaps — just set your skill level, goals, and budget, and it recommends the best online courses to get you there. Whether you're aiming to become a developer or something else, it guides you step by step with cost-aware resources",Member_0_16,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Scala', 'GORM (Go)', 'JavaScript']",Member_1_65,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'BeautifulSoup (Python)', 'Scala', 'TensorFlow (Python)', 'Slick (Scala)', 'Three.js (JavaScript)', 'Entity Framework (C#)']",Member_2_114,Frontend,"['JavaScript', 'HTML', 'CSS', 'React (JavaScript)', 'Three.js (JavaScript)', 'SwiftUI (Swift)', 'TensorFlow (Python)', 'SQL']","['Go', 'Revel (Go)', 'scikit-learn (Python)', 'Laravel (PHP)', 'Qt (C++)', 'Vert.x (Java)', 'JavaScript', 'HTML', 'CSS', 'TypeScript', 'React (JavaScript)', 'Elm', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'TensorFlow (Python)', 'Scala', 'SwiftUI (Swift)']"
KIZAK,"KIZAK is an AI-powered learning assistant designed to guide users through their journey in the IT field. It builds personalized learning paths, recommends daily and weekly tasks, and supports users with a smart AI coach—all while keeping track of their skills and progress.",Member_0_17,Frontend,"['JavaScript', 'HTML', 'CSS', 'Swift', 'Elm', 'GTK (C)', 'F#']",Member_1_66,Backend,"['Python', 'Bottle (Python)', 'Combine (Swift)', 'Lua', 'Blazor (C#)']",Member_2_115,Backend,"['Go', 'Revel (Go)', 'GORM (Go)', 'Echo (Go)', 'Gin (Go)', 'Symfony (PHP)']","['Python', 'Django (Python)', 'Tornado (Python)', 'FastAPI (Python)', 'Deno (TypeScript)', 'JavaScript', 'HTML', 'CSS', 'jQuery (JavaScript)', 'Java', 'Next.js (JavaScript)', 'Yii (PHP)', 'C++', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'OpenCV (C++)', 'BeautifulSoup (Python)', 'C', 'Vert.x (Java)', 'Haskell', 'Swift']"
NeuroCoach,"NeuroCoach is an intelligent assistant that provides personalized coaching using AI. It adapts to your goals in fitness, learning, or productivity, offering tailored plans and real-time feedback. With interactive guidance and progress tracking, it helps you achieve better results faster. Smart, scalable, and available anytime—training made effortless.",Member_0_18,Backend,"['C#', 'ASP.NET Core (C#)', 'Kotlin', 'Next.js (JavaScript)', 'Scala', 'Vapor (Swift)']",Member_1_67,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Requests (Python)', 'OpenCV (C++)', 'Julia', 'Perl', 'Rust', 'Spring Boot (Java)']",Member_2_116,Backend,"['Go', 'Gin (Go)', 'Revel (Go)', 'Beego (Go)', 'Akka (Scala)', 'C#', 'JavaScript', 'Rust', 'Apex']","['C#', 'ASP.NET Core (C#)', 'JavaScript', 'JavaScript', 'HTML', 'CSS', 'Next.js (JavaScript)', 'Three.js (JavaScript)', 'SDL (C)', 'Prisma (TypeScript)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Requests (Python)', 'scikit-learn (Python)', 'TensorFlow (Python)']"
LibNet,"LibNet is a service that unifies the search of the books for a user, making it more simple. Libraries can plug into our system to keep track of available books and let users reserve them easily. The aggregator is built to work with many libraries at once, so everything stays organized and simple to reach.",Member_0_19,Frontend,"['JavaScript', 'HTML', 'CSS', 'TypeScript', 'Blazor (C#)', 'Prisma (TypeScript)', 'C++', 'PyTorch (Python)', 'Bottle (Python)']",Member_1_68,Frontend,"['JavaScript', 'HTML', 'CSS', 'Flutter (Dart)', 'RxJS (TypeScript)', 'Dart', 'React (JavaScript)', 'scikit-learn (Python)', 'Elm']",Member_2_117,Backend,"['C#', 'Entity Framework (C#)', 'ASP.NET Core (C#)']","['Python', 'Django (Python)', 'Bottle (Python)', 'JavaScript', 'HTML', 'CSS', 'Combine (Swift)', 'Svelte (JavaScript)', 'Chart.js (JavaScript)', 'Blazor (C#)', 'Crystal', 'POCO (C++)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Scala', 'R', 'Requests (Python)']"
Sign Game,"A game (Unity 2D), where user draws symbols to defeat enemies.",Member_0_20,Backend,"['Go', 'Beego (Go)', 'Revel (Go)', 'Gin (Go)']",Member_1_69,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'scikit-learn (Python)', 'OpenCV (C++)', 'Fortran', 'Shell (Bash)']",Member_2_118,Backend,"['Go', 'Gin (Go)', 'Beego (Go)', 'RSpec (Ruby)', 'OpenCV (C++)', 'Haskell']","['C#', 'Entity Framework (C#)', 'ASP.NET Core (C#)', 'Rocket (Rust)', 'Python', 'JavaScript', 'HTML', 'CSS', 'Combine (Swift)', 'Svelte (JavaScript)', 'COBOL', 'Rust', 'C++', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'R', 'BeautifulSoup (Python)', 'Scala', 'Apex', 'Kotlin']"
DeathRoom online,"We are developing a fast-paced arena shooter inspired by Quake and Call of Duty, featuring:
 • up to 12-player multiplayer matches
 • Competitive leaderboards and match statistics",Member_0_21,Frontend,"['JavaScript', 'HTML', 'CSS', 'Swift', 'Angular (TypeScript)', 'D3.js (JavaScript)', 'Slick (Scala)']",Member_1_70,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'PyTorch (Python)', 'Requests (Python)', 'scikit-learn (Python)', 'Ktor (Kotlin)']",Member_2_119,Backend,"['Python', 'Django (Python)', 'Flask (Python)']","['Go', 'Revel (Go)', 'GORM (Go)', 'Shell (Bash)', 'Python', 'JavaScript', 'HTML', 'CSS', 'D3.js (JavaScript)', 'Chart.js (JavaScript)', 'Three.js (JavaScript)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'Scala', 'Micronaut (Java)', 'C#']"
Ego AI,"Ego AI is your personal assistant in everyday life. He will help you with the allocation of your tasks for the day, week, month. It will also show you all the latest news in the world if you want it.",Member_0_22,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'R', 'Alamofire (Swift)', 'Ktor (Kotlin)', 'Elm', 'Three.js (JavaScript)', 'Vert.x (Java)']",Member_1_71,Backend,"['Java', 'JavaScript', 'Hapi (JavaScript)']",Member_2_120,Backend,"['Java', 'Jakarta EE (Java)', 'Tornado (Python)', 'Go', 'Kotlin', 'Diesel (Rust)']","['Java', 'Sequelize (JavaScript)', 'Requests (Python)', 'Julia', 'Akka (Scala)', 'JavaScript', 'HTML', 'CSS', 'SwiftUI (Swift)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'R', 'scikit-learn (Python)', 'BeautifulSoup (Python)', 'GTK (C)', 'Zsh (Shell)']"
Recommendation System,"A distributed system that enables users to rate books. Based on their reading history and given ratings, the system generates personalized recommendations.",Member_0_23,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'R', 'MATLAB', 'BeautifulSoup (Python)']",Member_1_72,Backend,"['Go', 'Gin (Go)', 'Revel (Go)', 'Beego (Go)', 'Requests (Python)']",Member_2_121,ML / Data Science,"['Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'MATLAB', 'scikit-learn (Python)', 'F#', 'Swift', 'Boost (C++)']","['Python', 'Flask (Python)', 'JavaScript', 'HTML', 'CSS', 'Three.js (JavaScript)', 'Angular (TypeScript)', 'Python', 'NumPy (Python)', 'pandas (Python)', 'Matplotlib (Python)', 'MATLAB', 'R', 'Next.js (JavaScript)', 'CodeIgniter (PHP)', 'Erlang']"
